module,sub_step,technique,key_params,formula,rationale
M1,단위근 검정,Augmented Dickey-Fuller (ADF),alpha=0.05 | autolag=AIC,H0: unit root; p >= alpha → 비정상 → 차분,비정상 시계열은 VAR 계수가 spurious(허구)해짐; 차분 트리거를 자동으로 결정
M1,1차 차분,First-order differencing,(ADF p >= alpha 인 변수만 자동 적용),diff(x)[t] = x[t] - x[t-1],우상향 trend 제거 → VAR 정상성 가정 충족; transform_log 에 기록해 M5 역변환
M1,이상치 클리핑,Winsorization,lower=0.01 | upper=0.99,"x_clip = clip(x, quantile(x, lower), quantile(x, upper))",극단 outlier 가 VAR 계수 추정을 오염시키는 것 방지; 경제 가정 아닌 보수성 노브
M1,결측 보간,Time-axis linear interpolation,method=time | limit_direction=both,x_t = x_a + (t-a)/(b-a)*(x_b - x_a),"월 단위 등간격 패널; 앞뒤 관측값 선형 연결로 결측 채움, cross-dong 누설 방지"
M2,차수 선택,BIC-based lag selection,max_lag=12,"BIC = -2*logL + k*log(n); argmin over lag in [1, max_lag]",과적합 방지; 탐색 상한을 12로 넓혀 계절성 패턴 흡수 여유 확보
M2,VAR 계수 추정,OLS per-equation VAR (statsmodels),"(statsmodels VAR.fit, lag=BIC 선택값)",Y_t = intercept + A_1*Y_{t-1} + ... + A_p*Y_{t-p} + u_t,다변량 시계열 선형 영향 관계를 방정식 단위 OLS로 추정; 잔차 u_t → M3 재료
M2,사전분포 압축,Minnesota prior shrinkage (lambda=0.2),minnesota_lambda=0.2,coef_off_diag(L) *= (1 - 0.2/(L+1))  [L=0..lag-1],비대각(타변수) + 먼 시차일수록 0 쪽으로 당김; lambda=0.2은 BVAR 문헌 표준 중간값
M3,충격 샘플링,Block bootstrap (block_size=3),block_size=3 | seed=42,shock_block = resid[rand_start : rand_start + block_size],"블록 크기 3=분기; 한 분기 동안 충격의 시간상관 보존, i.i.d. 가정 완화"
M3,시나리오 전개,VAR multi-step simulation,horizon=240 | N >= hard_floor_N,Y_{t+1} = intercept + sum_L A_L*Y_{t-L+1} + shock_block[k],VAR 계수를 horizon 개월 반복 적용해 N개 경로 생성; M3+ 가 N을 하드조건으로 역산
M3+,꼬리 보강,Student-t tail augmentation (df_init=5.0),t_df_init=5.0 | tail_prob=0.05 | fat_tail=True,"P(t-tail block) = 0.05; resid_j ~ t(df_j, loc_j, scale_j) MLE 적합",부동산 잔차 kurtosis>3 → Gaussian 꼬리 과소; df=5.0 t분포로 극단 충격 보강
